original,nome_anterior,nome_novo,obs
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (3).jpg,large (3).jpg,img_0101.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (4).jpeg,large (4).jpeg,img_0102.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (4).jpg,large (4).jpg,img_0103.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (5).jpeg,large (5).jpeg,img_0104.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (5).jpg,large (5).jpg,img_0105.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (6).jpeg,large (6).jpeg,img_0106.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (6).jpg,large (6).jpg,img_0107.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (7).jpeg,large (7).jpeg,img_0108.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (7).jpg,large (7).jpg,img_0109.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (8).jpeg,large (8).jpeg,img_0110.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (8).jpg,large (8).jpg,img_0111.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large (9).jpg,large (9).jpg,img_0112.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large.jpeg,large.jpeg,img_0113.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\large.jpg,large.jpg,img_0114.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\Seney_National_Wildlife_Refuge_-_Nest_Cavity_(5687949036).jpg,Seney_National_Wildlife_Refuge_-_Nest_Cavity_(5687949036).jpg,img_0115.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.37.19 (1).jpeg,WhatsApp Image 2026-06-23 at 16.37.19 (1).jpeg,img_0116.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.37.19.jpeg,WhatsApp Image 2026-06-23 at 16.37.19.jpeg,img_0117.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.38.12.jpeg,WhatsApp Image 2026-06-23 at 16.38.12.jpeg,img_0118.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.39.46 (1).jpeg,WhatsApp Image 2026-06-23 at 16.39.46 (1).jpeg,img_0119.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.39.46.jpeg,WhatsApp Image 2026-06-23 at 16.39.46.jpeg,img_0120.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.40.25.jpeg,WhatsApp Image 2026-06-23 at 16.40.25.jpeg,img_0121.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.41.43.jpeg,WhatsApp Image 2026-06-23 at 16.41.43.jpeg,img_0122.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.42.23.jpeg,WhatsApp Image 2026-06-23 at 16.42.23.jpeg,img_0123.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 16.43.31.jpeg,WhatsApp Image 2026-06-23 at 16.43.31.jpeg,img_0124.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 17.03.52.jpeg,WhatsApp Image 2026-06-23 at 17.03.52.jpeg,img_0125.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 17.03.53.jpeg,WhatsApp Image 2026-06-23 at 17.03.53.jpeg,img_0126.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 17.05.06.jpeg,WhatsApp Image 2026-06-23 at 17.05.06.jpeg,img_0119.jpg,DUPLICATA
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 17.05.39.jpeg,WhatsApp Image 2026-06-23 at 17.05.39.jpeg,img_0127.jpg,
C:\Users\n1-arthur.oliveira\Documents\cavidades\WhatsApp Image 2026-06-23 at 17.11.50.jpeg,WhatsApp Image 2026-06-23 at 17.11.50.jpeg,img_0128.jpg,
